195.242.118.18:443#VG [1332.8ms 0.18Mbps]
64.176.9.170:8443#CL [1344.55ms 0.48Mbps]
64.176.15.110:2053#CL [1350.46ms 0.55Mbps]
194.5.98.105:2053#NO [1350.87ms 0.18Mbps]
94.103.188.145:443#MD [1353.05ms 0.05Mbps]
185.75.243.102:443#AL [1357.2ms 0.18Mbps]
159.253.120.204:443#MD [1382.71ms 0.17Mbps]
123.111.169.70:2053#KR [1391.81ms 2.2Mbps]
38.180.78.255:443#BR [1394.95ms 0.65Mbps]
123.111.169.70:443#KR [1396.36ms 5.89Mbps]
195.246.230.125:443#IS [1396.65ms 0.21Mbps]
180.149.45.58:443#AZ [1407.38ms 0.16Mbps]
217.156.67.86:443#MD [1433.88ms 0.89Mbps]
216.238.86.91:443#MX [1447.86ms 2.12Mbps]
194.55.164.118:443#CY [1470.67ms 0.27Mbps]
38.54.4.209:443#KH [1493.23ms 0.47Mbps]
